,year,brand,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count,published_at,title,likes_per_view,dislikes_per_view,comment_per_view
143,2010,Hynudai,False,False,False,True,False,False,False,176547.0,306.0,11.0,84.0,2010-02-04T17:20:09Z,[HD] Super Bowl 2010 Commercial with Brett Favre | New Hyundai Super Bowl 44 XLIV Commercial,0.17,0.01,0.05
144,2004,Bud Light,True,True,False,False,True,False,False,561.0,6.0,0.0,1.0,2010-09-07T15:09:18Z,Bud Light Paintball Commercial.avi,1.07,0.0,0.18
145,2008,Bud Light,True,True,False,False,False,False,True,166102.0,161.0,10.0,24.0,2008-10-27T10:54:59Z,Bud Light Commercial - X-Ray Vision,0.1,0.01,0.01
147,2006,Bud Light,True,True,False,False,False,False,False,95355.0,328.0,14.0,9.0,2012-12-17T18:18:48Z,Funny Bud Light Commercial Secret Magic Fridge,0.34,0.01,0.01
148,2007,Coca-Cola,False,True,False,False,False,True,False,11311.0,29.0,3.0,1.0,2008-12-07T21:31:15Z,Coca-Cola Happiness Factory commercial HD,0.26,0.03,0.01
149,2007,Budweiser,False,False,False,False,True,True,False,48035.0,47.0,2.0,1.0,2014-03-09T16:21:42Z,2014 Super Bowl Commercial Budweiser Dalmatian - 2007 Super Bowl Commercial TVC,0.1,0.0,0.0
151,2010,Bud Light,True,True,False,True,False,False,False,34565.0,100.0,6.0,15.0,2010-02-08T01:52:12Z,t-pain bud light superbowl 44 commercial hd,0.29,0.02,0.04
152,2009,Doritos,True,True,False,False,True,True,True,640393.0,1921.0,215.0,208.0,2009-01-31T23:48:04Z,Power of the Crunch,0.3,0.03,0.03
153,2009,Coca-Cola,True,True,False,True,True,False,False,45799.0,99.0,7.0,21.0,2009-02-02T06:06:22Z,Mean Troy - Coke Zero Super Bowl Ad,0.22,0.02,0.05
154,2009,Pepsi,False,False,True,True,True,False,False,1294.0,7.0,0.0,2.0,2009-08-09T23:12:05Z,Pepsi Super Bowl 2009 Commercial: Anthem,0.54,0.0,0.15
155,2001,E-Trade,False,False,False,False,True,True,False,103433.0,167.0,7.0,3.0,2006-11-25T00:50:12Z,E-Trade Chimp On a Horse TV Commercial,0.16,0.01,0.0
156,2018,Bud Light,True,True,False,False,True,True,False,41441.0,224.0,7.0,9.0,2018-01-21T23:46:31Z,Bud Light | Battle Pep Talk Dilly Dilly,0.54,0.02,0.02
158,2010,Kia,True,True,False,False,False,True,True,50850.0,92.0,4.0,11.0,2010-02-07T19:56:19Z,Kia - Big Game (2010 Super bowl Ad),0.18,0.01,0.02
159,2008,Doritos,True,True,False,False,True,False,False,232124.0,988.0,31.0,96.0,2008-02-04T18:43:56Z,"Funny Super Bowl Commercial 2008 - Doritos: ""Mouse Trap""",0.43,0.01,0.04
160,2012,Coca-Cola,False,True,False,False,False,True,False,10925.0,71.0,18.0,3.0,2013-10-28T06:50:01Z,"Coke 2012 Commercial - Coca-Cola Open Happiness - ""Superstition""",0.65,0.16,0.03
161,2011,Hynudai,False,False,False,False,False,True,False,92.0,1.0,0.0,0.0,2016-05-27T11:10:55Z,"Hyundai ""Deprogramming""",1.09,0.0,0.0
162,2008,Coca-Cola,True,True,True,True,False,False,False,14267.0,36.0,2.0,7.0,2008-02-05T08:17:44Z,Coca-Cola: Political Parties (Super Bowl 42 Commercial),0.25,0.01,0.05
165,2002,Bud Light,True,False,False,False,True,False,True,67452.0,270.0,15.0,7.0,2013-01-29T22:17:05Z,Bud Light - Satin Sheets,0.4,0.02,0.01
166,2013,Kia,True,False,False,False,False,True,True,10338.0,39.0,2.0,1.0,2013-11-08T06:13:04Z,"KIA SORENTO ""SPACE BABIES""",0.38,0.02,0.01
167,2008,Pepsi,True,False,False,True,True,False,True,236941.0,594.0,14.0,65.0,2009-01-17T07:54:08Z,Justin Timberlake Pepsi Ad,0.25,0.01,0.03
169,2011,Hynudai,False,False,False,False,False,False,False,56.0,0.0,0.0,0.0,2012-05-21T09:45:55Z,Hyundai - Anachronistic City.mp4,0.0,0.0,0.0
170,2008,Bud Light,True,True,True,True,False,False,True,729583.0,588.0,180.0,119.0,2008-02-01T22:22:55Z,Bud Light Language of Love Commercial,0.08,0.02,0.02
171,2008,Bud Light,True,True,False,True,False,False,True,1060001.0,1384.0,121.0,180.0,2008-02-02T21:06:05Z,Bud Light Jackie Moon TV Commercial,0.13,0.01,0.02
